INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,APOLLOTYRE,27-Mar-2014,0,XX,130,131.5,126.6,127.85,127.85,2050,10522.96,17116000,-52000,10-MAR-2014,
FUTSTK,APOLLOTYRE,24-Apr-2014,0,XX,130.3,130.3,127.8,128.8,128.8,59,304.55,368000,48000,10-MAR-2014,
FUTSTK,APOLLOTYRE,29-May-2014,0,XX,0,0,0,132.15,129.85,0,0,0,0,10-MAR-2014,
FUTSTK,ARVIND,27-Mar-2014,0,XX,153.05,158.15,153,156,156,2974,18515.34,10168000,336000,10-MAR-2014,
FUTSTK,ARVIND,24-Apr-2014,0,XX,155.25,159,154.4,157.15,157.15,33,206.38,184000,-4000,10-MAR-2014,
FUTSTK,ARVIND,29-May-2014,0,XX,0,0,0,158.1,158.5,0,0,0,0,10-MAR-2014,
FUTSTK,ASHOKLEY,27-Mar-2014,0,XX,17.15,18.2,16.95,18.1,18.1,2177,5789.05,32370000,-3015000,10-MAR-2014,
FUTSTK,ASHOKLEY,24-Apr-2014,0,XX,17.35,18.3,17.2,18.3,18.3,39,103.95,915000,90000,10-MAR-2014,
FUTSTK,ASHOKLEY,29-May-2014,0,XX,18.85,18.85,18.85,18.85,18.85,1,2.82,45000,15000,10-MAR-2014,
FUTSTK,ASIANPAINT,27-Mar-2014,0,XX,484,492.9,483.8,487.9,487.9,3432,8398.81,3427500,88500,10-MAR-2014,
FUTSTK,ASIANPAINT,24-Apr-2014,0,XX,489,495.4,488.35,490.75,490.75,77,189.41,101000,11500,10-MAR-2014,
FUTSTK,ASIANPAINT,29-May-2014,0,XX,0,0,0,488.85,495.6,0,0,0,0,10-MAR-2014,
FUTSTK,AUROPHARMA,27-Mar-2014,0,XX,508.55,521.45,502.1,509.85,509.85,6198,63441.44,11220000,-1474000,10-MAR-2014,
FUTSTK,AUROPHARMA,24-Apr-2014,0,XX,516.9,524.05,508,513.95,513.95,79,815.22,230000,20000,10-MAR-2014,
FUTSTK,AUROPHARMA,29-May-2014,0,XX,0,0,0,547,519.05,0,0,10000,0,10-MAR-2014,
FUTSTK,AXISBANK,27-Mar-2014,0,XX,1396.1,1440.65,1393.7,1417.3,1417.3,21483,76070.05,5927250,374250,10-MAR-2014,
FUTSTK,AXISBANK,24-Apr-2014,0,XX,1400.3,1440,1400,1420.25,1420.25,491,1743.3,146250,15000,10-MAR-2014,
FUTSTK,AXISBANK,29-May-2014,0,XX,1431.85,1431.85,1412.5,1412.9,1458.15,10,35.57,18250,250,10-MAR-2014,
FUTSTK,BAJAJ-AUTO,27-Mar-2014,0,XX,1958.35,2040,1955.35,2016.75,2016.75,7567,18769.67,954625,23750,10-MAR-2014,
FUTSTK,BAJAJ-AUTO,24-Apr-2014,0,XX,1978.4,2036.5,1970,2028.3,2028.3,124,309.85,11625,5250,10-MAR-2014,
FUTSTK,BAJAJ-AUTO,29-May-2014,0,XX,0,0,0,1968.05,2049.4,0,0,0,0,10-MAR-2014,
FUTSTK,BANKBARODA,27-Mar-2014,0,XX,650,676.2,648.1,656.2,656.2,13061,43150.71,3037500,-139500,10-MAR-2014,
FUTSTK,BANKBARODA,24-Apr-2014,0,XX,659.15,680.3,657.05,659.9,659.9,174,577.27,151500,19000,10-MAR-2014,
FUTSTK,BANKBARODA,29-May-2014,0,XX,0,0,0,551.6,666.4,0,0,0,0,10-MAR-2014,
