Date,Open,High,Low,Close
13-December-2007,6473.91,6480.25,6358.56,6371.44,
14-December-2007,6379.17,6399.04,6330.31,6357.52,
17-December-2007,6361.98,6361.98,6044.74,6077.47,
18-December-2007,6097.66,6120.23,5997.07,6044.85,
19-December-2007,6092.02,6153.08,5973.00,6046.91,
20-December-2007,6079.89,6098.46,6034.40,6052.70,
24-December-2007,6105.09,6260.71,6105.09,6253.97,
26-December-2007,6284.56,6385.42,6284.56,6379.60,
27-December-2007,6414.19,6426.73,6367.27,6381.69,
28-December-2007,6365.63,6424.81,6335.39,6420.21,
31-December-2007,6456.55,6501.32,6454.80,6469.48,
1-January-2008,6488.14,6520.91,6461.26,6499.85,
2-January-2008,6531.68,6588.84,6443.93,6574.54,
3-January-2008,6561.16,6605.28,6534.70,6554.60,
4-January-2008,6571.31,6676.38,6571.31,6647.79,
7-January-2008,6627.71,6686.14,6574.76,6675.78,
8-January-2008,6723.11,6760.43,6586.21,6649.98,
9-January-2008,6654.77,6724.33,6587.33,6640.97,
10-January-2008,6664.47,6731.65,6488.00,6500.32,
11-January-2008,6532.20,6586.20,6442.48,6560.93,
14-January-2008,6590.46,6606.28,6548.32,6584.57,
15-January-2008,6621.27,6639.81,6436.68,6450.97,
16-January-2008,6405.16,6405.16,6198.34,6322.69,
17-January-2008,6359.07,6385.48,6262.64,6285.85,
18-January-2008,6255.02,6275.74,6011.30,6033.52,
21-January-2008,5998.50,5998.50,5276.79,5477.02,
22-January-2008,5267.71,5267.71,4687.14,5159.47,
23-January-2008,5369.72,5610.03,5254.70,5486.10,
24-January-2008,5586.32,5671.36,5274.00,5329.53,
25-January-2008,5418.31,5719.65,5418.31,5708.15,
28-January-2008,5600.22,5667.45,5416.03,5652.27,
29-January-2008,5716.10,5761.44,5571.81,5637.55,
30-January-2008,5641.96,5644.78,5493.81,5515.84,
31-January-2008,5532.31,5589.91,5393.21,5475.75,
1-February-2008,5521.17,5635.14,5424.71,5617.01,
4-February-2008,5693.13,5836.08,5693.13,5765.50,
5-February-2008,5744.97,5800.89,5717.05,5782.36,
6-February-2008,5653.62,5665.28,5548.69,5627.22,
7-February-2008,5645.50,5664.28,5432.64,5441.06,
8-February-2008,5455.61,5482.39,5312.06,5392.10,
11-February-2008,5383.51,5383.51,5068.39,5112.36,
12-February-2008,5164.38,5214.58,5077.99,5095.81,
13-February-2008,5157.39,5246.10,5118.71,5191.70,
14-February-2008,5294.99,5486.12,5294.99,5469.93,
15-February-2008,5402.74,5599.35,5373.69,5588.40,
18-February-2008,5626.86,5636.67,5532.68,5573.87,
19-February-2008,5625.63,5660.19,5558.49,5574.87,
20-February-2008,5549.72,5549.72,5398.58,5436.80,
21-February-2008,5499.19,5530.54,5392.56,5466.87,
22-February-2008,5401.71,5404.74,5344.32,5359.73,
25-February-2008,5410.73,5445.85,5289.60,5437.81,
26-February-2008,5481.14,5521.23,5463.04,5506.07,
27-February-2008,5558.50,5617.35,5496.39,5514.94,
28-February-2008,5511.05,5542.89,5470.72,5516.33,
29-February-2008,5498.05,5502.81,5341.91,5454.89,
3-March-2008,5353.25,5353.25,5153.58,5166.19,
4-March-2008,5183.08,5192.60,4974.54,5054.22,
5-March-2008,5050.97,5104.67,5017.99,5089.33,
7-March-2008,4987.41,4987.41,4803.79,4900.23,
10-March-2008,4814.24,4915.38,4705.07,4896.62,
11-March-2008,4853.76,5009.20,4840.06,4993.85,
12-March-2008,5118.35,5169.37,4974.01,4995.19,
13-March-2008,4911.34,4911.34,4683.03,4720.72,
14-March-2008,4749.56,4858.60,4710.14,4846.33,
17-March-2008,4704.49,4704.49,4524.47,4543.13,
18-March-2008,4524.28,4639.22,4504.87,4540.25,
19-March-2008,4682.20,4741.87,4549.06,4568.97,
24-March-2008,4601.63,4654.11,4539.32,4606.70,
25-March-2008,4696.61,4908.59,4696.61,4894.20,
26-March-2008,4909.25,4935.17,4847.65,4873.94,
27-March-2008,4835.17,4897.79,4815.22,4860.32,
28-March-2008,4885.22,5012.32,4836.07,4990.54,
31-March-2008,4949.77,4949.77,4750.33,4775.04,
1-April-2008,4811.11,4838.41,4676.30,4771.35,
2-April-2008,4885.72,4957.97,4796.07,4805.72,
3-April-2008,4816.44,4871.26,4785.80,4826.10,
4-April-2008,4837.64,4839.53,4682.15,4695.11,
7-April-2008,4707.12,4840.45,4680.91,4818.37,
8-April-2008,4821.76,4824.38,4747.13,4774.87,
9-April-2008,4752.39,4845.77,4737.52,4834.93,
10-April-2008,4828.78,4888.95,4803.09,4814.23,
11-April-2008,4854.27,4891.57,4811.80,4854.86,
15-April-2008,4824.53,4976.66,4789.56,4958.74,
16-April-2008,4997.72,5042.73,4972.52,4987.31,
17-April-2008,5046.49,5092.82,5038.58,5069.59,
21-April-2008,5107.58,5161.40,5107.58,5155.01,
22-April-2008,5138.43,5202.92,5116.96,5185.97,
23-April-2008,5203.79,5217.37,5132.83,5162.10,
24-April-2008,5198.72,5212.21,5151.18,5159.77,
25-April-2008,5186.77,5273.23,5174.00,5265.63,
28-April-2008,5299.89,5305.16,5235.21,5245.20,
29-April-2008,5256.53,5371.67,5245.57,5359.53,
30-April-2008,5390.31,5401.13,5323.66,5335.69,
2-May-2008,5414.18,5433.65,5381.49,5422.21,
5-May-2008,5444.45,5470.85,5391.25,5402.46,
6-May-2008,5392.80,5408.27,5315.49,5353.61,
7-May-2008,5363.05,5371.86,5309.63,5339.75,
8-May-2008,5301.87,5301.87,5252.13,5264.62,
9-May-2008,5247.99,5275.19,5124.13,5141.73,
12-May-2008,5110.69,5180.37,5061.61,5169.17,
13-May-2008,5211.13,5241.75,5117.97,5133.31,
14-May-2008,5117.41,5211.24,5099.31,5201.08,
15-May-2008,5234.84,5312.01,5234.84,5308.53,
16-May-2008,5346.51,5364.43,5312.48,5351.82,
20-May-2008,5328.76,5340.45,5268.25,5300.27,
21-May-2008,5253.10,5327.89,5243.85,5312.26,
22-May-2008,5272.11,5272.11,5193.31,5207.59,
23-May-2008,5228.73,5254.49,5121.57,5128.55,
26-May-2008,5069.22,5078.36,5015.45,5029.09,
27-May-2008,5062.19,5078.95,4988.12,5000.67,
28-May-2008,5026.49,5083.99,4979.01,5074.21,
29-May-2008,5116.21,5116.21,4981.20,5016.26,
30-May-2008,5052.10,5079.28,4999.06,5036.30,
2-June-2008,5082.05,5092.50,4901.02,4923.40,
3-June-2008,4859.35,4904.08,4811.77,4895.87,
4-June-2008,4907.41,4909.17,4716.32,4737.13,
5-June-2008,4732.52,4827.98,4671.37,4817.66,
6-June-2008,4864.30,4883.40,4755.66,4769.19,
9-June-2008,4636.78,4657.48,4544.50,4626.74,
10-June-2008,4599.89,4638.66,4500.99,4577.43,
11-June-2008,4613.65,4668.98,4613.65,4652.46,
12-June-2008,4581.90,4684.47,4521.16,4676.83,
13-June-2008,4701.06,4704.09,4635.09,4650.21,
16-June-2008,4696.48,4760.11,4696.48,4716.11,
17-June-2008,4715.87,4824.92,4703.88,4815.76,
18-June-2008,4831.89,4845.60,4724.20,4733.95,
19-June-2008,4685.03,4689.63,4624.36,4637.48,
20-June-2008,4657.33,4667.09,4455.33,4475.42,
23-June-2008,4433.09,4447.86,4330.36,4361.70,
24-June-2008,4368.21,4397.08,4254.87,4287.89,
25-June-2008,4211.85,4338.04,4175.42,4330.89,
26-June-2008,4354.84,4392.38,4319.43,4378.97,
27-June-2008,4292.37,4292.37,4179.91,4192.73,
30-June-2008,4188.77,4214.07,4062.58,4077.25,
1-July-2008,4087.41,4103.01,3900.92,3915.67,
2-July-2008,3913.14,4130.99,3845.90,4120.99,
3-July-2008,4082.65,4082.65,3884.23,3937.75,
4-July-2008,3942.65,4060.87,3906.42,4046.25,
7-July-2008,4074.18,4156.12,4059.82,4074.98,
8-July-2008,4005.35,4067.84,3933.04,4033.40,
9-July-2008,4103.40,4226.84,4103.40,4217.08,
10-July-2008,4189.84,4244.70,4160.46,4216.52,
11-July-2008,4248.28,4256.78,4052.37,4089.38,
14-July-2008,4061.97,4130.38,4035.55,4057.16,
15-July-2008,3982.60,3982.60,3841.67,3862.78,
16-July-2008,3876.44,3926.14,3791.43,3816.79,
